asset,entry_time,exit_time,direction,entry,exit,pnl,result
LINK,2026-02-16 08:30:00,2026-02-16 15:30:00,LONG,8.81,8.66,-0.5453223609534631,SL
SOL,2026-02-16 09:00:00,2026-02-16 13:30:00,LONG,85.73,84.47,-0.4633860185542676,SL
SOL,2026-02-16 09:15:00,2026-02-16 13:30:00,LONG,86.06,84.47,-0.5802352450113084,SL
AVAX,2026-02-16 11:00:00,2026-02-16 12:15:00,SHORT,9.22,9.35,-0.4291425354867356,SL
AVAX,2026-02-16 12:45:00,2026-02-16 14:15:00,LONG,9.37,9.17,-0.635523913148665,SL
AVAX,2026-02-16 00:00:00,2026-02-16 15:30:00,LONG,9.32,9.14,-0.5846702755999719,SL
LINK,2026-02-16 20:30:00,2026-02-17 15:15:00,LONG,8.83,8.68,-0.534217119956475,SL
LINK,2026-02-17 15:15:00,2026-02-17 16:30:00,SHORT,8.7,8.91,-0.6725997804317169,SL
ARB,2026-02-17 02:30:00,2026-02-17 05:15:00,LONG,0.1158,0.1141,-0.40158271789158395,SL
ARB,2026-02-17 08:30:00,2026-02-17 16:30:00,SHORT,0.1138,0.1153,-0.35566971351359083,SL
SOL,2026-02-16 13:45:00,2026-02-17 00:45:00,SHORT,84.17,86.93,-0.9867250678469913,SL
SOL,2026-02-16 14:00:00,2026-02-17 00:45:00,SHORT,84.16,86.93,-0.9903859294136744,SL
SOL,2026-02-17 02:15:00,2026-02-17 05:30:00,LONG,87.2,85.46,-0.48497833314578803,SL
SOL,2026-02-17 02:30:00,2026-02-17 05:30:00,LONG,87.31,85.51,-0.5008424888948358,SL
SOL,2026-02-17 09:00:00,2026-02-17 14:30:00,SHORT,85.84,83.92000000000002,0.5062500562149125,TP
SOL,2026-02-17 09:15:00,2026-02-17 14:30:00,SHORT,85.9,84.10000000000002,0.4738642289817924,TP
SOL,2026-02-17 14:30:00,2026-02-18 08:15:00,SHORT,83.84,86.06,-0.6411642878919652,SL
SOL,2026-02-17 14:45:00,2026-02-18 08:15:00,SHORT,83.26,86.05,-0.8095834919287547,SL
SOL,2026-02-18 10:30:00,2026-02-18 14:45:00,SHORT,84.66,81.79999999999998,0.7514025778481841,TP
SOL,2026-02-18 10:45:00,2026-02-18 19:30:00,SHORT,84.26,80.60000000000001,0.9679816916148842,TP
AVAX,2026-02-16 21:00:00,2026-02-18 01:00:00,LONG,9.22,9.08,-0.4347066925475555,SL
AVAX,2026-02-16 20:45:00,2026-02-18 01:30:00,LONG,9.21,9.06,-0.4656800734492488,SL
AVAX,2026-02-18 01:00:00,2026-02-18 08:15:00,SHORT,9.1,9.2,-0.26812650472599064,SL
AVAX,2026-02-18 04:15:00,2026-02-18 08:15:00,SHORT,9.08,9.17,-0.23752511165796808,SL
AVAX,2026-02-18 10:45:00,2026-02-18 19:30:00,SHORT,9.09,8.849999999999998,0.5944552509233688,TP
AVAX,2026-02-18 10:30:00,2026-02-18 22:00:00,SHORT,9.08,8.819999999999999,0.6452521268646348,TP
ARB,2026-02-17 05:15:00,2026-02-18 17:15:00,SHORT,0.1138,0.10959999999999999,0.9672004130004744,TP
ARB,2026-02-17 22:45:00,2026-02-18 19:30:00,SHORT,0.1128,0.108,1.1005408255605396,TP
AVAX,2026-02-19 01:00:00,2026-02-19 08:30:00,LONG,8.88,8.8,-0.2438389186671574,SL
AVAX,2026-02-19 01:30:00,2026-02-19 08:30:00,LONG,8.9,8.8,-0.3022608962617442,SL
AVAX,2026-02-19 13:00:00,2026-02-19 16:30:00,SHORT,8.77,8.89,-0.358447510926193,SL
AVAX,2026-02-19 13:15:00,2026-02-19 16:30:00,SHORT,8.75,8.87,-0.3592500615022289,SL
LINK,2026-02-16 00:00:00,2026-02-19 00:00:00,LONG,8.84,8.6,-0.864203619909503,SL
LINK,2026-02-17 23:00:00,2026-02-19 00:00:00,SHORT,8.83,8.590000000000002,0.7216467220644395,TP
LINK,2026-02-19 00:30:00,2026-02-19 13:00:00,LONG,8.61,8.52,-0.2658622490473734,SL
LINK,2026-02-19 00:45:00,2026-02-19 13:00:00,LONG,8.61,8.52,-0.2658622490473734,SL
ARB,2026-02-18 18:30:00,2026-02-19 15:00:00,SHORT,0.1088,0.09939999999999997,2.159548143295125,TP
ARB,2026-02-18 21:45:00,2026-02-19 15:30:00,SHORT,0.1075,0.0989,2.0912344148998034,TP
ARB,2026-02-20 05:00:00,2026-02-20 16:00:00,SHORT,0.0963,0.0985,-0.6629911169966588,SL
LINK,2026-02-19 13:00:00,2026-02-20 08:15:00,SHORT,8.53,8.69,-0.46082523856600643,SL
LINK,2026-02-19 13:15:00,2026-02-20 08:15:00,SHORT,8.48,8.69,-0.6061852147469731,SL
LINK,2026-02-20 13:00:00,2026-02-20 15:00:00,SHORT,8.59,8.73,-0.44520630616614026,SL
LINK,2026-02-20 13:15:00,2026-02-20 15:00:00,SHORT,8.58,8.73,-0.4770052535214726,SL
SOL,2026-02-18 18:15:00,2026-02-20 09:00:00,SHORT,81.74,84.01,-0.6515118747430183,SL
SOL,2026-02-20 09:00:00,2026-02-20 13:30:00,LONG,84.29,82.38,-0.5780806201574438,SL
SOL,2026-02-20 13:30:00,2026-02-20 16:00:00,SHORT,81.95,84.84,-0.874079978033612,SL
OP,2026-02-21 00:00:00,2026-02-21 02:30:00,LONG,0.1284,0.13179999999999994,0.6199809542541355,TP
ARB,2026-02-21 04:45:00,2026-02-21 06:15:00,LONG,0.0972,0.09979999999999999,0.6435801247431707,TP
